Question ID;User Name;User Email;Submitted Date/Time;Student Answer
11;Student1;table@abc.se;Feb 17, 2020 10:46:33;B
11;Student2;chair@abc.se;Feb 17, 2020 10:46:19;E
11;Student3;spoon@abc.se;Feb 17, 2020 10:44:49;A
11;Student4;plate@abc.se;Feb 17, 2020 10:45:30;A
11;Student5;fork@abc.se;Feb 17, 2020 10:44:53;E
11;Student6;knife@abc.se;Feb 17, 2020 10:46:09;A
11;Student7;saucer@abc.se;Feb 17, 2020 10:44:35;A
11;Student8;glass@abc.se;Feb 17, 2020 10:46:29;B
11;Student9;chopsticks@abc.se;Feb 17, 2020 10:45:41;B
11;Student10;cutlery@abc.se;Feb 17, 2020 10:46:16;A
11;Student11;tablemat@abc.se;Feb 17, 2020 10:46:33;B
11;Student12;candle@abc.se;Feb 17, 2020 10:44:57;A
11;Student13;candle_holder@abc.se;Feb 17, 2020 10:44:45;A
11;Student14;kettle@abc.se;Feb 17, 2020 10:44:53;A
11;Student15;jar@abc.se;Feb 17, 2020 10:45:44;B
11;Student16;jug@abc.se;Feb 17, 2020 10:44:28;A
11;Student17;wipe@abc.se;Feb 17, 2020 10:45:56;A
11;Student18;flower@abc.se;Feb 17, 2020 10:45:07;B
11;Student19;pan@abc.se;Feb 17, 2020 10:44:48;C
11;Student20;lid@abc.se;Feb 17, 2020 10:45:07;A
11;Student21;brush@abc.se;Feb 17, 2020 10:44:55;A
11;Student22;soap@abc.se;Feb 17, 2020 10:46:09;B
11;Student23;dishes@abc.se;Feb 17, 2020 10:45:46;B
11;Student24;dish_washer@abc.se;Feb 17, 2020 10:46:25;E
11;Student25;handsoap@abc.se;Feb 17, 2020 10:46:24;B
11;Student26;sink@abc.se;Feb 17, 2020 10:44:58;B
11;Student27;tap@abc.se;Feb 17, 2020 10:46:33;B
16;Student1;table@abc.se;Feb 17, 2020 11:13:16;A
16;Student2;chair@abc.se;Feb 17, 2020 11:12:20;D
16;Student3;spoon@abc.se;Feb 17, 2020 11:13:15;D
16;Student4;plate@abc.se;Feb 17, 2020 11:13:53;D
16;Student5;fork@abc.se;Feb 17, 2020 11:12:51;D
16;Student6;knife@abc.se;Feb 17, 2020 11:14:00;A
16;Student7;saucer@abc.se;Feb 17, 2020 11:12:12;D
16;Student8;glass@abc.se;Feb 17, 2020 11:12:15;D
16;Student9;chopsticks@abc.se;Feb 17, 2020 11:12:30;D
16;Student10;cutlery@abc.se;Feb 17, 2020 11:12:13;D
16;Student11;tablemat@abc.se;Feb 17, 2020 11:12:55;D
16;Student12;candle@abc.se;Feb 17, 2020 11:13:17;D
16;Student13;candle_holder@abc.se;Feb 17, 2020 11:13:26;D
16;Student14;kettle@abc.se;Feb 17, 2020 11:12:10;D
16;Student15;jar@abc.se;Feb 17, 2020 11:13:53;D
16;Student16;jug@abc.se;Feb 17, 2020 11:12:20;D
16;Student17;wipe@abc.se;Feb 17, 2020 11:13:52;B
16;Student18;flower@abc.se;Feb 17, 2020 11:12:18;D
16;Student19;pan@abc.se;Feb 17, 2020 11:13:54;A
16;Student20;lid@abc.se;Feb 17, 2020 11:12:45;D
16;Student21;brush@abc.se;Feb 17, 2020 11:12:56;D
16;Student22;soap@abc.se;Feb 17, 2020 11:13:33;D
16;Student23;dishes@abc.se;Feb 17, 2020 11:13:15;D
